AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;date;AMOS_scheduledOutOfService;AMOS_unscheduledOutOfService
XY-OFW;0;0;0;0;1;29-08-2010;612;0
XY-IWX;2;1;0;0;1;17-04-2010;561;0
XY-NHZ;0;0;0;0;1;15-10-2010;24;0
XY-IWX;2;1;0;0;1;17-04-2011;87;0
XY-OFW;0;0;0;0;1;29-08-2012;0;1359
XY-ZDY;1;1;1;39;1;09-08-2012;0;1
XY-IWX;0;0;0;0;2;17-04-2012;1056;0
XY-OFW;2;1;1;34;0;29-08-2013;7;0
XY-ZDY;2;1;1;42;1;09-08-2013;764;0
XY-IWX;3;1;1;46;2;17-04-2013;16;0
XY-OZH;0;0;0;0;1;23-09-2011;0;96
XY-LQZ;0;0;0;0;1;08-08-2011;324;0
XY-IWX;0;1;1;28;0;17-04-2014;24;0
XY-OFW;2;1;1;8;0;29-08-2015;0;0
XY-ZDY;0;0;0;0;1;09-08-2011;0;11
XY-IWX;1;1;1;45;0;17-04-2015;9;0
XY-OZH;1;2;2;50;0;23-09-2016;0;1
XY-LQZ;0;0;0;0;1;08-08-2014;0;0
XY-OZH;0;0;0;0;1;23-09-2015;0;11
XY-ZMF;3;2;2;49;0;05-10-2016;0;252
XY-LQZ;0;0;0;0;1;08-08-2016;24;0
XY-OZH;0;0;0;0;1;23-09-2013;0;11
XY-ZDY;2;1;1;15;0;01-03-2015;0;0
XY-PZC;0;0;0;0;1;13-09-2010;0;0
XY-PZC;3;2;2;55;0;13-09-2011;0;1203
XY-ZDY;2;2;2;72;1;01-03-2011;235;0
XY-ZDY;0;0;0;0;1;01-09-2015;24;0
XY-ZDY;4;1;1;41;0;01-03-2012;375;0
XY-ZDY;3;1;1;45;0;01-09-2016;0;11
XY-PZC;0;0;0;0;2;13-09-2012;0;22
XY-ZDY;1;1;1;17;1;01-03-2010;20;0
XY-PZC;0;0;0;0;1;13-09-2013;0;1739
XY-ZWJ;0;1;1;10;0;05-11-2013;0;11
XY-ZDY;2;2;2;47;0;09-08-2016;527;0
XY-ZDY;3;1;1;44;2;01-09-2013;855;0
XY-ZDY;0;0;0;0;1;09-08-2014;0;0
XY-ZWJ;3;1;1;17;0;05-11-2014;24;0
XY-ZDY;2;1;1;48;0;01-09-2010;0;1651
XY-IWX;0;0;0;0;1;20-11-2014;24;0
XY-IWX;3;2;2;55;0;20-11-2015;0;1
XY-IWX;3;1;1;31;0;20-11-2016;0;0
XY-ZDY;0;0;0;0;1;09-12-2013;24;0
XY-ZDY;3;1;1;7;0;09-12-2011;636;0
XY-ZDY;0;0;0;0;3;09-12-2016;146;0
XY-ZDY;0;1;1;47;0;09-12-2015;0;1131
XY-OHF;0;1;1;12;1;31-10-2016;0;1
XY-OZH;0;1;1;47;0;04-02-2013;0;11
XY-OZH;0;0;0;0;1;04-02-2014;0;0
XY-OZH;1;1;1;33;0;04-02-2011;0;11
XY-OZH;0;0;0;0;1;04-02-2012;0;1181
XY-OZH;0;0;0;0;1;04-02-2015;0;0
XY-OZH;0;0;0;0;1;04-02-2016;0;11
XY-MBJ;1;1;1;38;0;20-04-2016;0;0
XY-MBJ;0;0;0;0;1;20-04-2011;0;661
XY-MBJ;1;1;1;38;1;20-04-2012;0;22
XY-CMJ;0;0;0;0;1;02-10-2011;228;0
XY-MBJ;2;1;1;25;0;20-04-2013;0;0
XY-CMJ;3;1;1;43;0;02-10-2012;155;0
XY-MBJ;2;1;1;46;0;20-04-2010;0;0
XY-CMJ;0;0;0;0;1;29-06-2016;104;0
XY-CMJ;3;1;1;42;0;29-06-2015;0;0
XY-OZH;0;0;0;0;1;04-02-2010;0;0
XY-ZWJ;3;2;2;40;0;26-06-2015;46;0
XY-ZWJ;1;1;1;26;0;26-06-2016;0;1994
XY-NHZ;3;1;1;46;0;04-04-2011;0;199
XY-NHZ;2;1;1;45;0;04-04-2015;277;0
XY-NHZ;5;2;2;84;0;04-04-2014;48;0
XY-NHZ;0;0;0;0;1;04-04-2012;0;1891
XY-OHF;0;0;0;0;1;28-03-2010;0;11
XY-JXR;0;0;0;0;2;10-07-2010;0;1560
XY-OHF;3;3;3;57;0;28-03-2015;0;32
XY-OHF;0;0;0;0;1;28-03-2014;0;1431
XY-PZC;0;0;0;0;1;26-03-2011;0;11
XY-LQZ;0;0;0;0;1;13-03-2016;0;0
XY-LYP;4;1;1;49;0;30-10-2014;24;0
XY-LQZ;1;1;1;10;0;13-03-2015;0;0
XY-LQZ;0;0;0;0;1;13-03-2014;0;11
XY-PZC;4;1;1;41;1;26-03-2013;0;22
XY-PZC;0;0;0;0;2;26-03-2012;48;0
XY-ZWJ;0;0;0;0;1;26-06-2013;0;1255
XY-ZWJ;0;1;1;28;1;26-06-2014;0;2284
XY-PZC;2;1;1;12;0;26-03-2016;0;11
XY-LQZ;0;1;1;24;0;13-03-2012;0;0
XY-ZWJ;0;0;0;0;1;26-06-2010;0;0
XY-LQZ;2;2;2;55;0;13-03-2011;1096;0
XY-LYP;0;0;0;0;1;30-10-2011;0;11
XY-LQZ;0;0;0;0;1;13-03-2010;0;0
XY-LYP;1;1;1;21;1;30-10-2012;335;0
XY-ZMF;1;1;1;46;1;24-11-2012;0;3721
XY-ZMF;0;0;0;0;1;24-11-2011;0;0
XY-ZMF;0;0;0;0;1;24-11-2010;0;11
XY-ZMF;4;1;1;44;0;24-11-2016;0;0
XY-ZMF;3;1;0;0;0;24-11-2014;0;11
XY-ZMF;2;2;2;57;1;24-11-2013;0;5852
XY-FBA;0;1;1;17;0;29-01-2010;0;0
XY-FBA;0;0;0;0;1;29-01-2011;0;11
XY-IOO;0;0;0;0;3;05-08-2013;1826;0
XY-IOO;3;1;1;38;0;05-08-2012;0;2133
XY-IOO;0;0;0;0;1;05-08-2015;19;0
XY-IOO;1;1;1;34;1;05-08-2014;0;22
XY-IOO;0;1;1;20;0;05-08-2016;13;0
XY-YAZ;1;1;1;48;0;01-06-2016;24;0
XY-FBA;0;0;0;0;2;29-11-2010;0;1
XY-FBA;0;0;0;0;1;29-11-2012;24;0
XY-FBA;2;1;1;42;0;29-11-2013;416;0
XY-YAZ;0;0;0;0;1;01-06-2014;0;11
XY-YAZ;0;0;0;0;1;01-06-2013;0;1654
XY-FBA;1;2;2;55;0;29-11-2016;0;22
XY-YAZ;0;0;0;0;1;12-02-2016;0;1976
XY-YAZ;2;1;1;8;2;12-02-2015;0;32
XY-FBA;2;1;1;19;0;21-12-2015;0;11
XY-YAZ;2;1;1;30;0;09-05-2012;0;284
XY-YAZ;2;1;1;31;1;09-05-2010;0;1
XY-FBA;0;0;0;0;1;10-06-2012;23;0
XY-FBA;0;0;0;0;1;10-06-2015;0;11
XY-FBA;3;2;2;85;2;10-06-2014;0;6226
XY-FBA;0;0;0;0;1;21-12-2013;0;0
XY-FBA;0;1;1;7;0;10-06-2016;18;0
XY-FBA;0;0;0;0;1;21-12-2014;445;0
XY-FBA;0;0;0;0;1;21-12-2011;0;0
XY-FBA;0;1;1;37;0;21-12-2012;24;0
XY-YAZ;0;0;0;0;1;12-12-2015;24;0
XY-YAZ;0;0;0;0;1;12-12-2014;0;1486
XY-FBA;2;1;0;0;0;18-05-2014;0;11
XY-YAZ;3;2;1;33;0;12-12-2011;377;0
XY-FBA;0;0;0;0;1;18-05-2015;0;11
XY-YAZ;1;1;1;29;1;12-12-2010;0;22
XY-FBA;1;1;1;37;0;18-05-2016;0;0
XY-FBA;1;1;1;18;0;10-06-2011;0;11
XY-YAZ;0;0;0;0;1;12-12-2013;0;809
XY-FBA;0;0;0;0;2;10-06-2010;166;0
XY-YAZ;0;0;0;0;1;12-12-2012;48;0
XY-MBJ;2;1;1;47;0;31-10-2016;0;11
XY-MBJ;0;0;0;0;1;31-10-2011;159;0
XY-MBJ;0;0;0;0;1;31-10-2010;24;0
XY-ZDY;1;1;1;9;1;14-03-2014;0;1
XY-MBJ;1;1;1;18;0;31-10-2013;24;0
XY-OHF;3;1;1;32;0;17-07-2011;0;0
XY-OHF;3;2;1;20;0;17-07-2010;0;2365
XY-OHF;0;1;1;47;2;17-07-2013;0;4122
XY-OHF;0;0;0;0;1;17-07-2012;0;220
XY-LYP;0;0;0;0;2;27-03-2015;0;1
XY-LYP;2;1;0;0;0;27-03-2016;145;0
XY-LYP;0;0;0;0;2;27-03-2011;0;538
XY-JXR;3;1;1;10;2;29-12-2016;49;0
XY-JXR;4;1;1;34;0;29-12-2015;237;0
XY-JXR;1;1;1;40;1;29-12-2014;48;0
XY-OHF;0;0;0;0;1;17-07-2015;0;1337
XY-JXR;0;0;0;0;1;29-12-2013;0;11
XY-JXR;0;0;0;0;1;29-12-2012;0;0
XY-OHF;0;1;1;13;0;17-07-2016;0;0
XY-JXR;0;0;0;0;1;29-12-2010;0;11
XY-LYP;7;3;3;61;0;16-07-2014;0;1
XY-OHF;0;0;0;0;1;29-08-2010;0;0
XY-OHF;0;0;0;0;1;29-08-2011;3;0
XY-OHF;2;1;1;42;1;29-08-2012;0;2948
XY-LYP;1;1;1;37;2;16-07-2012;72;0
XY-ALV;1;1;0;0;0;20-12-2013;24;0
XY-FBA;0;0;0;0;1;30-06-2014;0;555
XY-LYP;1;1;0;0;0;16-07-2011;0;904
XY-ALV;0;0;0;0;1;20-12-2012;12;0
XY-FBA;0;0;0;0;1;30-06-2016;0;11
XY-ALV;0;1;1;12;0;20-12-2010;0;0
XY-IOO;3;1;1;49;0;18-02-2014;0;11
XY-IOO;0;0;0;0;1;18-02-2013;0;11
XY-IOO;2;1;1;32;1;18-02-2012;0;851
XY-IOO;3;1;1;38;2;18-02-2016;0;32
XY-OHF;0;0;0;0;1;16-12-2012;0;0
XY-OZH;3;1;1;8;0;19-07-2015;0;11
XY-OHF;0;1;1;30;0;16-12-2010;0;0
XY-OZH;4;1;1;24;2;19-07-2013;549;0
XY-IOO;3;1;1;48;0;18-02-2011;0;11
XY-OHF;0;0;0;0;1;16-12-2015;24;0
XY-OHF;3;1;1;43;1;16-12-2014;0;22
XY-OZH;3;1;1;29;0;19-07-2016;24;0
XY-ALV;0;0;0;0;1;20-12-2015;168;0
XY-OZH;0;0;0;0;1;19-07-2011;0;0
XY-YAZ;3;1;1;12;1;21-06-2016;0;22
XY-OHF;1;1;1;21;1;29-08-2014;0;1
XY-YAZ;0;0;0;0;1;21-06-2015;0;11
XY-YAZ;2;1;1;42;1;21-06-2014;0;964
XY-OHF;0;0;0;0;1;29-08-2016;0;1056
XY-FBA;1;1;1;30;2;07-03-2012;0;32
XY-YAZ;0;0;0;0;1;21-06-2013;14;0
XY-FBA;2;2;2;94;0;07-03-2013;0;22
XY-YAZ;0;0;0;0;1;21-06-2012;0;1385
XY-YAZ;0;0;0;0;1;21-06-2011;0;34
XY-JXR;0;0;0;0;1;02-12-2016;0;711
XY-JXR;0;0;0;0;1;02-12-2015;5;0
XY-JXR;0;0;0;0;1;02-12-2010;24;0
XY-NMY;2;1;1;41;0;29-10-2015;0;0
XY-NMY;4;1;1;48;0;29-10-2014;24;0
XY-NMY;0;0;0;0;1;29-10-2013;0;1851
XY-NMY;3;1;1;31;1;29-10-2012;0;22
XY-FBA;0;0;0;0;1;23-10-2011;164;0
XY-FBA;0;2;2;57;0;23-10-2014;0;4201
XY-FBA;2;2;2;92;1;23-10-2016;0;1
XY-FBA;4;2;2;54;1;23-10-2015;0;1
XY-FBA;3;1;0;0;1;23-10-2010;1024;0
XY-OFW;3;1;1;17;1;30-07-2014;0;22
XY-ZMF;0;0;0;0;1;09-09-2015;6;0
XY-ZMF;1;1;1;26;0;09-09-2014;0;0
XY-IWX;0;0;0;0;1;22-05-2011;18;0
XY-ZMF;1;2;2;72;1;09-09-2013;0;1
XY-ZMF;0;0;0;0;1;09-09-2012;451;0
XY-OFW;3;1;1;14;1;30-07-2013;0;22
XY-ZMF;0;0;0;0;1;09-09-2010;0;0
XY-IOO;2;1;1;41;0;20-10-2015;0;11
XY-IOO;2;1;1;11;0;20-10-2016;0;11
XY-IOO;2;1;1;26;0;20-10-2011;0;969
XY-IOO;0;0;0;0;1;20-10-2010;502;0
XY-LYP;0;0;0;0;1;03-11-2016;24;0
XY-LYP;0;0;0;0;1;03-11-2015;0;127
XY-LYP;3;1;1;47;0;03-11-2013;0;0
XY-LYP;3;1;1;40;0;03-11-2010;24;0
XY-ZMF;0;0;0;0;1;05-06-2014;11;0
XY-NMY;2;1;0;0;0;20-08-2010;0;0
XY-ZMF;0;0;0;0;1;05-06-2012;0;11
XY-NMY;0;0;0;0;1;20-08-2011;379;0
XY-NMY;0;0;0;0;1;20-08-2012;12;0
XY-ZMF;3;2;2;23;1;05-06-2010;819;0
XY-NMY;0;1;0;0;1;20-08-2014;48;0
XY-NMY;0;0;0;0;1;20-08-2016;95;0
XY-FBA;0;0;0;0;1;22-07-2012;0;702
XY-FBA;1;2;2;80;0;22-07-2013;210;0
XY-FBA;0;0;0;0;1;22-07-2015;24;0
XY-FBA;0;1;1;17;1;22-07-2016;0;1156
XY-PZC;2;1;1;23;0;17-05-2016;581;0
XY-LYP;0;0;0;0;1;24-06-2014;0;11
XY-LYP;0;0;0;0;1;24-06-2013;0;1149
XY-LYP;0;1;1;22;0;24-06-2011;479;0
XY-LYP;5;2;2;53;0;24-06-2010;48;0
XY-IWX;3;1;1;41;0;22-05-2015;24;0
XY-IWX;0;1;1;44;0;22-05-2016;222;0
XY-PZC;2;1;0;0;1;17-05-2010;48;0
XY-PZC;0;0;0;0;2;17-05-2011;0;1
XY-PZC;0;0;0;0;1;17-05-2012;23;0
XY-PZC;3;1;1;20;0;17-05-2013;0;0
XY-PZC;3;1;1;46;1;17-05-2014;0;2690
XY-LYP;0;0;0;0;1;24-06-2016;0;397
XY-PZC;2;1;0;0;0;17-05-2015;0;11
XY-NMY;0;0;0;0;1;24-04-2010;22;0
XY-CMJ;1;1;1;32;0;08-11-2010;0;11
XY-MBJ;3;2;2;75;0;15-09-2013;48;0
XY-MBJ;0;0;0;0;1;15-09-2012;0;0
XY-CMJ;0;1;1;29;0;08-11-2012;0;608
XY-CMJ;1;1;0;0;0;08-11-2013;323;0
XY-MBJ;0;0;0;0;2;15-09-2014;0;22
XY-CMJ;1;2;1;31;0;08-11-2014;48;0
XY-CMJ;1;1;1;15;1;08-11-2015;0;1
XY-PZC;2;1;0;0;0;03-06-2014;0;0
XY-IOO;3;1;1;8;1;26-01-2012;0;1143
XY-PZC;1;1;1;47;0;03-06-2015;0;0
XY-IOO;0;0;0;0;1;26-01-2013;0;0
XY-PZC;0;0;0;0;1;03-06-2012;0;0
XY-YAZ;0;0;0;0;1;13-07-2013;10;0
XY-YAZ;0;0;0;0;2;13-07-2014;0;22
XY-YAZ;0;0;0;0;1;13-07-2010;0;1766
XY-NMY;0;1;1;7;1;24-04-2016;0;22
XY-YAZ;0;0;0;0;1;13-07-2015;0;11
XY-NMY;0;0;0;0;1;24-04-2014;429;0
XY-IOO;0;0;0;0;1;26-01-2016;0;0
XY-NMY;0;0;0;0;2;24-04-2015;0;1
XY-IOO;1;1;1;33;0;26-01-2014;0;1230
XY-NHZ;0;0;0;0;2;03-05-2015;48;0
XY-LYP;1;1;1;27;1;20-03-2012;0;129
XY-LYP;0;0;0;0;2;28-02-2016;0;2381
XY-NHZ;4;1;1;46;0;03-05-2011;24;0
XY-LYP;0;0;0;0;1;28-02-2015;0;0
XY-NHZ;0;0;0;0;1;03-05-2012;0;0
XY-NHZ;4;1;1;41;0;03-05-2013;0;1864
XY-LYP;1;2;2;16;1;28-02-2012;72;0
XY-IWX;1;1;1;16;0;30-04-2014;0;11
XY-LYP;2;1;1;24;0;28-02-2014;615;0
XY-IWX;0;1;1;12;1;30-04-2015;0;1
XY-IWX;0;1;1;23;0;30-04-2010;0;0
XY-IWX;3;1;1;23;0;30-04-2011;0;0
XY-IWX;0;0;0;0;2;30-04-2012;0;3088
XY-OFW;0;0;0;0;1;23-11-2016;24;0
XY-YAZ;0;0;0;0;1;29-05-2013;1;0
XY-YAZ;2;2;2;56;0;29-05-2010;764;0
XY-NMY;1;1;1;26;0;12-09-2016;24;0
XY-NMY;3;1;1;20;0;12-09-2010;24;0
XY-NMY;0;0;0;0;1;12-09-2011;0;0
XY-NMY;0;0;0;0;1;12-09-2013;0;0
XY-YAZ;0;1;1;37;0;25-02-2015;69;0
XY-FBA;0;1;1;18;3;30-06-2010;0;2
XY-ZWJ;0;1;1;32;1;24-12-2013;0;22
XY-YAZ;0;0;0;0;2;25-02-2016;0;3906
XY-ZWJ;3;1;1;47;0;24-12-2014;19;0
XY-YAZ;0;0;0;0;1;25-02-2013;0;0
XY-FBA;0;0;0;0;2;30-06-2012;0;406
XY-YAZ;1;1;1;36;0;25-02-2014;0;11
XY-ZWJ;2;1;1;25;2;24-12-2016;10;0
XY-YAZ;0;0;0;0;1;25-02-2011;0;0
XY-OFW;0;0;0;0;1;23-11-2013;0;0
XY-OFW;0;0;0;0;1;23-11-2014;0;0
XY-OFW;0;0;0;0;1;23-11-2011;24;0
XY-PZC;0;0;0;0;3;27-12-2013;0;1
XY-PZC;0;1;1;19;0;27-12-2016;19;0
XY-ALV;0;0;0;0;1;28-11-2011;0;0
XY-ALV;0;0;0;0;2;28-11-2010;12;0
XY-ALV;0;0;0;0;1;28-11-2016;0;849
XY-ALV;2;1;1;13;1;28-11-2014;0;1248
XY-PZC;0;0;0;0;1;27-12-2010;0;21
XY-PZC;0;0;0;0;1;27-12-2012;0;11
XY-PZC;0;1;1;10;0;27-12-2011;0;0
XY-OHF;2;1;1;15;1;21-09-2016;0;558
XY-OHF;1;1;1;15;2;21-09-2015;0;1
XY-MBJ;2;1;1;23;0;16-12-2015;0;444
XY-MBJ;0;0;0;0;2;16-12-2016;0;3126
XY-MBJ;0;0;0;0;2;16-12-2013;48;0
XY-OHF;0;0;0;0;1;21-09-2012;0;1041
XY-OHF;0;0;0;0;1;21-09-2011;0;727
XY-OHF;2;1;1;25;0;21-09-2014;0;0
XY-OHF;0;0;0;0;1;21-09-2013;24;0
XY-CMJ;5;2;2;60;0;21-11-2013;0;1
XY-CMJ;0;0;0;0;1;21-11-2016;0;0
XY-CMJ;4;2;2;44;1;21-11-2010;0;32
XY-CMJ;0;0;0;0;2;21-11-2011;0;22
XY-NMY;2;2;2;64;0;28-07-2010;146;0
XY-LQZ;2;1;1;7;0;13-09-2010;256;0
XY-LQZ;4;1;1;46;0;13-09-2011;17;0
XY-ZWJ;3;1;1;12;1;27-05-2015;0;22
XY-ZWJ;3;1;1;40;0;27-05-2016;0;0
XY-ZWJ;0;0;0;0;1;27-05-2013;0;11
XY-ZWJ;1;1;1;27;0;27-05-2014;0;0
XY-LQZ;1;1;1;45;1;13-09-2012;0;22
XY-NMY;0;0;0;0;2;01-01-2016;0;3897
XY-NMY;0;0;0;0;2;01-01-2015;0;253
XY-NMY;0;0;0;0;1;01-01-2014;0;11
XY-LQZ;0;0;0;0;1;13-09-2015;0;0
XY-OZH;0;0;0;0;1;11-08-2016;13;0
XY-OZH;0;0;0;0;1;11-08-2014;0;11
XY-OZH;0;0;0;0;1;11-08-2013;0;0
XY-OHF;0;0;0;0;2;06-05-2011;48;0
XY-OHF;0;0;0;0;1;06-05-2010;0;0
XY-ZWJ;0;0;0;0;2;27-05-2012;40;0
XY-ZWJ;4;1;1;39;1;27-05-2010;364;0
XY-OZH;3;1;1;27;0;11-08-2012;0;1989
XY-LQZ;3;1;1;38;0;15-01-2012;0;11
XY-OFW;0;0;0;0;1;31-10-2015;17;0
XY-LQZ;0;0;0;0;1;15-01-2013;0;1715
XY-OFW;0;1;0;0;0;31-10-2016;23;0
XY-LQZ;0;0;0;0;1;15-01-2010;0;0
XY-LQZ;0;0;0;0;1;15-01-2011;0;0
XY-OFW;0;0;0;0;1;31-10-2014;547;0
XY-LQZ;1;1;1;8;2;15-01-2016;72;0
XY-OFW;3;1;1;32;0;31-10-2012;557;0
XY-PZC;3;1;0;0;0;07-02-2010;0;11
XY-LQZ;0;0;0;0;1;15-01-2014;0;0
XY-PZC;0;0;0;0;1;07-02-2011;0;0
XY-LQZ;2;1;0;0;0;15-01-2015;17;0
XY-PZC;0;1;1;31;0;07-02-2013;0;0
XY-PZC;0;0;0;0;1;07-02-2015;0;1288
XY-FBA;1;2;1;14;0;22-07-2010;764;0
XY-YAZ;0;0;0;0;2;08-10-2015;0;1
XY-YAZ;0;0;0;0;1;08-10-2012;24;0
XY-YAZ;0;0;0;0;2;08-10-2011;535;0
XY-NHZ;0;1;1;47;0;27-11-2010;0;822
XY-NHZ;0;1;1;9;0;27-11-2014;0;11
XY-OFW;3;1;0;0;0;22-08-2016;0;0
XY-NHZ;0;0;0;0;1;27-11-2012;8;0
XY-NHZ;0;0;0;0;1;27-11-2016;0;1326
XY-NHZ;2;2;2;68;0;27-11-2015;0;22
XY-OFW;0;0;0;0;1;22-08-2011;24;0
XY-OFW;0;0;0;0;1;22-08-2010;0;0
XY-YAZ;0;0;0;0;1;14-10-2014;0;0
XY-OFW;2;2;2;32;1;22-08-2013;0;32
XY-YAZ;0;0;0;0;2;14-10-2015;0;22
XY-OFW;1;1;1;22;1;22-08-2015;0;22
XY-OFW;0;0;0;0;1;22-08-2014;0;11
XY-ZWJ;0;0;0;0;1;23-09-2013;0;1615
XY-YAZ;0;0;0;0;1;14-10-2011;0;0
XY-ZWJ;3;1;1;47;0;23-09-2014;213;0
XY-YAZ;1;2;2;54;0;14-10-2013;48;0
XY-OZH;0;0;0;0;1;15-04-2011;0;11
XY-OZH;0;1;1;36;0;15-04-2010;383;0
XY-ZWJ;0;0;0;0;1;23-09-2010;0;0
XY-ZWJ;0;0;0;0;1;23-09-2011;338;0
XY-LQZ;2;1;1;20;1;14-12-2011;0;1
XY-LQZ;0;0;0;0;1;14-12-2014;24;0
XY-LQZ;0;0;0;0;1;14-12-2016;0;11
XY-OFW;0;0;0;0;1;07-04-2012;0;960
XY-OFW;0;1;1;24;0;07-04-2014;0;1459
XY-OFW;0;1;1;45;1;07-04-2013;0;22
XY-OFW;0;0;0;0;1;07-04-2016;0;0
XY-OFW;0;1;1;27;0;03-01-2015;0;0
XY-OHF;0;0;0;0;1;15-09-2012;0;204
XY-OFW;0;1;1;41;1;03-01-2014;0;920
XY-OFW;0;0;0;0;2;03-01-2017;48;0
XY-OHF;0;0;0;0;1;15-09-2010;22;0
XY-OZH;1;1;1;13;0;03-09-2014;0;0
XY-OHF;0;0;0;0;1;15-09-2011;0;0
XY-OHF;0;0;0;0;1;15-09-2014;0;0
XY-OHF;0;0;0;0;1;15-09-2015;24;0
XY-OFW;0;1;1;21;0;03-01-2011;0;0
XY-OFW;0;0;0;0;2;03-01-2013;817;0
XY-ZWJ;0;0;0;0;2;04-02-2012;499;0
XY-LQZ;2;1;1;33;0;01-02-2013;85;0
XY-LQZ;3;1;1;21;0;01-02-2012;0;1009
XY-LQZ;0;0;0;0;2;01-02-2010;0;22
XY-OZH;0;0;0;0;1;25-07-2012;0;131
XY-LQZ;0;0;0;0;1;01-02-2015;18;0
XY-OZH;0;0;0;0;1;25-07-2015;0;1972
XY-OZH;0;2;1;42;0;25-07-2013;0;1
XY-OZH;0;0;0;0;1;25-07-2014;0;0
XY-YTM;2;1;1;49;0;02-07-2013;0;623
XY-IWX;2;1;1;41;1;09-05-2010;0;577
XY-YTM;3;1;1;38;1;02-07-2014;1082;0
XY-IWX;3;1;1;49;0;09-05-2011;0;0
XY-IOO;0;0;0;0;1;27-06-2012;0;0
XY-YTM;0;0;0;0;2;02-07-2011;0;22
XY-IWX;3;1;1;31;0;09-05-2012;0;0
XY-IOO;0;0;0;0;1;27-06-2011;0;1212
XY-YTM;0;0;0;0;1;02-07-2012;3;0
XY-IWX;2;1;0;0;1;09-05-2013;0;22
XY-IOO;3;1;1;46;1;27-06-2010;516;0
XY-FBA;0;0;0;0;2;09-11-2012;0;22
XY-IOO;0;0;0;0;1;27-06-2016;416;0
XY-LQZ;2;1;1;8;0;21-12-2013;0;11
XY-IWX;1;1;1;10;0;09-05-2014;24;0
XY-IWX;0;0;0;0;1;09-05-2015;23;0
XY-YTM;0;0;0;0;1;02-07-2015;385;0
XY-LQZ;0;0;0;0;1;21-12-2010;0;0
XY-YTM;0;0;0;0;1;02-07-2016;0;1617
XY-IWX;0;0;0;0;1;08-06-2013;24;0
XY-IWX;2;1;1;46;0;08-06-2012;0;11
XY-ZDY;5;2;2;64;0;19-05-2016;48;0
XY-IWX;4;1;1;26;1;08-06-2014;0;1
XY-FBA;1;1;0;0;0;09-11-2010;24;0
XY-NMY;0;0;0;0;1;06-09-2010;0;0
XY-NMY;0;0;0;0;1;06-09-2011;0;608
XY-NMY;3;2;2;61;1;06-09-2012;72;0
XY-OFW;0;0;0;0;1;17-11-2013;1;0
XY-OFW;2;1;1;48;0;17-11-2016;0;11
XY-OZH;0;0;0;0;2;12-11-2016;48;0
XY-NMY;0;0;0;0;1;06-09-2013;41;0
XY-NMY;0;0;0;0;2;06-09-2014;0;2689
XY-NMY;4;2;2;57;0;06-09-2016;0;1
XY-NHZ;0;0;0;0;1;26-08-2014;0;0
XY-CMJ;0;0;0;0;1;29-10-2010;181;0
XY-CMJ;1;1;1;26;0;29-10-2011;0;0
XY-NHZ;1;1;1;45;0;26-08-2012;0;1935
XY-CMJ;0;0;0;0;2;29-10-2014;0;22
XY-NHZ;2;1;1;7;1;26-08-2016;986;0
XY-CMJ;1;1;1;22;0;29-10-2016;0;0
XY-NHZ;2;1;1;28;0;26-08-2011;345;0
XY-ZMF;0;0;0;0;1;23-08-2012;0;11
XY-ZMF;4;4;2;65;0;23-08-2016;0;2
XY-ZMF;0;0;0;0;1;23-08-2014;0;11
XY-CMJ;0;0;0;0;1;24-04-2011;0;0
XY-CMJ;3;1;1;35;0;24-04-2013;0;0
XY-CMJ;2;1;0;0;0;24-04-2015;0;11
XY-CMJ;0;1;1;33;2;24-04-2014;0;5621
XY-CMJ;0;0;0;0;2;24-04-2016;0;22
XY-MBJ;0;0;0;0;1;17-01-2011;0;0
XY-MBJ;0;1;0;0;0;17-01-2010;0;701
XY-MBJ;2;1;1;8;0;17-01-2015;0;0
XY-MBJ;0;0;0;0;1;17-01-2013;0;1527
XY-MBJ;0;0;0;0;1;17-01-2012;24;0
XY-MBJ;0;0;0;0;1;11-10-2014;0;0
XY-YTM;0;0;0;0;1;17-05-2013;0;0
XY-MBJ;5;2;2;62;1;11-10-2015;664;0
XY-YTM;3;1;1;40;1;17-05-2014;0;1
XY-MBJ;0;0;0;0;1;11-10-2012;0;1175
XY-YTM;3;1;0;0;0;17-05-2015;0;1444
XY-MBJ;0;0;0;0;1;11-10-2013;24;0
XY-YTM;4;2;1;42;1;17-05-2016;714;0
XY-YTM;2;1;1;7;1;17-05-2010;0;22
XY-YTM;0;0;0;0;1;17-05-2011;0;0
XY-YTM;0;1;1;38;0;17-05-2012;0;0
XY-NHZ;0;0;0;0;2;07-01-2012;0;85
XY-OHF;2;1;1;38;0;06-05-2012;0;0
XY-NHZ;0;0;0;0;2;07-01-2010;0;1
XY-OHF;0;0;0;0;1;06-05-2014;514;0
XY-NHZ;4;2;2;30;0;07-01-2011;0;22
XY-NHZ;0;0;0;0;1;07-01-2016;0;0
XY-MBJ;0;0;0;0;1;11-10-2010;0;11
XY-MBJ;0;1;1;42;0;11-10-2011;334;0
XY-NHZ;2;1;1;11;0;07-01-2015;3;0
XY-YTM;0;1;1;22;0;03-06-2010;0;0
XY-MBJ;2;1;1;21;0;17-01-2016;23;0
XY-ZDY;3;1;1;35;0;22-02-2010;524;0
XY-ZDY;0;0;0;0;1;22-02-2011;0;0
XY-YTM;1;1;1;29;0;03-06-2015;436;0
